timestamp,codec,model,p_mask,K,seeds,BPC_entropy_mean,BPC_entropy_sd,BPC_ac_mean,BPC_ac_sd,CharFid_mean,CharFid_sd,ChrF_mean,ChrF_sd,BERTScore_mean,BERTScore_sd
2025-10-21T20:57:54.047123Z,epc,roberta-base,0.2,4,5,2.8912859048713724,0.0,2.893587346258922,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-10-21T20:57:54.047213Z,epc,roberta-base,0.2,16,5,2.891271828565226,0.0,2.8934401304773902,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-10-21T20:57:54.047291Z,epc,roberta-base,0.2,64,5,2.891355753333988,0.0,2.8933881719662615,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-10-21T20:57:54.047366Z,epc,roberta-base,0.2,128,5,2.8914228664108625,0.0,2.8933881719662615,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-10-21T20:57:54.047443Z,epc,roberta-base,0.4,4,5,2.2958317932247625,0.0,2.2993929705776015,0.0,0.9999074246660452,1.2412670766236366e-16,0.9999856856045902,1.2412670766236366e-16,0.9999699592590332,0.0
2025-10-21T20:57:54.047530Z,epc,roberta-base,0.4,16,5,2.2956490902580025,0.0,2.298749984002382,0.0,0.9999885057471264,1.2412670766236366e-16,0.9999973194170453,0.0,0.9999995231628418,0.0
2025-10-21T20:57:54.047606Z,epc,roberta-base,0.4,64,5,2.296002149097993,0.0,2.298522665516193,0.0,0.9999040588844081,1.2412670766236366e-16,0.9999856856045902,1.2412670766236366e-16,0.999966561794281,0.0
2025-10-21T20:57:54.047682Z,epc,roberta-base,0.4,128,5,2.296284349007639,0.0,2.2984707070050643,0.0,0.9999040588844081,1.2412670766236366e-16,0.9999856856045902,1.2412670766236366e-16,0.999966561794281,0.0
2025-10-21T20:57:54.047758Z,epc,roberta-base,0.6,4,5,1.650390456338053,2.482534153247273e-16,1.657004492313894,0.0,0.9994656829106667,1.2412670766236366e-16,0.9997346266401361,0.0,0.9998719096183777,0.0
2025-10-21T20:57:54.047834Z,epc,roberta-base,0.6,16,5,1.6532919360008105,0.0,1.6543026497351931,0.0,0.9995471531182261,0.0,0.9997387141653785,1.2412670766236366e-16,0.9998274445533752,0.0
2025-10-21T20:57:54.047909Z,epc,roberta-base,0.6,64,5,1.6586184951258627,0.0,1.6532461600089061,0.0,0.9991032275544441,1.2412670766236366e-16,0.9997265727008229,1.2412670766236366e-16,0.999678373336792,0.0
2025-10-21T20:57:54.047985Z,epc,roberta-base,0.6,128,5,1.6616056500518699,0.0,1.6529019348726774,0.0,0.9987502863779735,0.0,0.9997179964592192,1.2412670766236366e-16,0.9996116757392883,0.0
2025-10-21T20:57:54.048060Z,epc,roberta-base,0.8,4,5,1.0966175413882817,0.0,1.1076098926448665,0.0,0.9985971063016479,1.2412670766236366e-16,0.9983193724192658,1.2412670766236366e-16,0.999690592288971,0.0
2025-10-21T20:57:54.048134Z,epc,roberta-base,0.8,16,5,1.1032256211906233,0.0,1.0711133684527678,0.0,0.9975659456963422,0.0,0.9974240442518394,0.0,0.9995115995407104,0.0
2025-10-21T20:57:54.048209Z,epc,roberta-base,0.8,64,5,1.1464388986433993,0.0,1.063969073172549,0.0,0.9950460811418409,1.2412670766236366e-16,0.9971021966948947,1.2412670766236366e-16,0.9988172054290771,0.0
2025-10-21T20:57:54.048284Z,epc,roberta-base,0.8,128,5,1.1705275679886142,0.0,1.0624016580868283,0.0,0.9943075002239603,0.0,0.9969202815833251,1.2412670766236366e-16,0.9985525012016296,0.0
