timestamp,codec,model,p_mask,K,anchors_every,seeds,BPC_mean,BPC_sd,CharFid_mean,CharFid_sd
2025-10-21T09:16:06.573055Z,vqre,roberta-base,0.2,4,0,5,0.42801345276984504,0.07650088160870842,0.7122176986006344,0.1410976043740144
2025-10-21T09:16:06.573186Z,vqre,roberta-base,0.2,4,16,5,0.6875617680294056,0.04612272572747863,0.7048812339405595,0.13559798235187503
2025-10-21T09:16:06.573337Z,vqre,roberta-base,0.2,4,32,5,0.525463125858217,0.02698711152590399,0.7112210903458364,0.12572897347563153
2025-10-21T09:16:06.573474Z,vqre,roberta-base,0.2,4,64,5,0.4810217782761246,0.036780118635067506,0.6958830558056375,0.09009015749928713
2025-10-21T09:16:06.573596Z,vqre,roberta-base,0.2,16,0,5,0.13050825199349098,0.004329603279419579,0.682664338686281,0.06369711169705737
2025-10-21T09:16:06.573722Z,vqre,roberta-base,0.2,16,16,5,0.4293903211907923,0.003745417840956824,0.6842233690730237,0.08199896601521167
2025-10-21T09:16:06.573837Z,vqre,roberta-base,0.2,16,32,5,0.29401980712494424,0.0024508589280975083,0.6771975392434555,0.04926020250716491
2025-10-21T09:16:06.573975Z,vqre,roberta-base,0.2,16,64,5,0.2288233233987434,0.004359819788338181,0.6641938139967396,0.052382025699784486
2025-10-21T09:16:06.574098Z,vqre,roberta-base,0.2,64,0,5,0.12598972319119664,0.005418611232015698,0.6694593739819258,0.05206979125552605
2025-10-21T09:16:06.574208Z,vqre,roberta-base,0.2,64,16,5,0.42412276483565436,0.0037413430913164976,0.6597229996965877,0.030348892617319413
2025-10-21T09:16:06.574304Z,vqre,roberta-base,0.2,64,32,5,0.2916268728391758,0.0046668680393060664,0.6761180843627004,0.06138672056476544
2025-10-21T09:16:06.574400Z,vqre,roberta-base,0.2,64,64,5,0.22948169572051955,0.0020291766008811336,0.6576591864950255,0.031062468956225716
2025-10-21T09:16:06.574542Z,vqre,roberta-base,0.2,128,0,5,0.1264424457680923,0.004738801133463887,0.6510404469790898,0.027149185292360867
2025-10-21T09:16:06.574648Z,vqre,roberta-base,0.2,128,16,5,0.42575072377305023,0.004172301971957555,0.6586375539219912,0.029636429763688958
2025-10-21T09:16:06.574779Z,vqre,roberta-base,0.2,128,32,5,0.2921357195889055,0.0021623053794479212,0.6577995912615986,0.027658725759313964
2025-10-21T09:16:06.574898Z,vqre,roberta-base,0.2,128,64,5,0.22834189979803796,0.0023849291241510575,0.6466415333278398,0.019385892926987905
2025-10-21T09:16:06.575005Z,vqre,roberta-base,0.4,4,0,5,1.0856528605581113,0.05201879580932117,0.6551586600225365,0.0369307516165068
2025-10-21T09:16:06.575112Z,vqre,roberta-base,0.4,4,16,5,1.345359971890127,0.04149162534513723,0.6439702845350956,0.011651349884902604
2025-10-21T09:16:06.575227Z,vqre,roberta-base,0.4,4,32,5,1.2279090823368528,0.03823590722206564,0.6436901285540051,0.012251277567475993
2025-10-21T09:16:06.575331Z,vqre,roberta-base,0.4,4,64,5,1.1718526270568654,0.035938789268500325,0.6432706570597672,0.011932334192419113
2025-10-21T09:16:06.575471Z,vqre,roberta-base,0.4,16,0,5,0.707677304758276,0.019747176404942654,0.6429896296759361,0.011535191280821214
