timestamp,codec,model,p_mask,K,anchors_every,seeds,BPC_mean,BPC_sd,CharFid_mean,CharFid_sd
2025-10-21T01:02:50.367142Z,vqre,distilbert-base-cased,0.2,4,0,5,0.3848796787006711,0.03602882961363925,0.8072831129647472,0.04365221905490152
2025-10-21T01:02:50.367276Z,vqre,distilbert-base-cased,0.2,4,16,5,0.6579967956679107,0.0254983810200014,0.7906243851290461,0.015830063693688293
2025-10-21T01:02:50.367383Z,vqre,distilbert-base-cased,0.2,4,32,5,0.5256886009890178,0.016268857866305348,0.7820650713320132,0.009450862957604856
2025-10-21T01:02:50.367501Z,vqre,distilbert-base-cased,0.2,16,0,5,0.18794231577360343,0.020696465533579813,0.7882251725908246,0.00499882606122504
2025-10-21T01:02:50.367606Z,vqre,distilbert-base-cased,0.2,16,16,5,0.46727033681534474,0.02052232100090961,0.7816241638064547,0.015412998235818851
2025-10-21T01:02:50.367731Z,vqre,distilbert-base-cased,0.2,16,32,5,0.34067014864110456,0.021505015635483977,0.7884680412021143,0.010427930216537108
2025-10-21T01:02:50.367844Z,vqre,distilbert-base-cased,0.2,64,0,5,0.14183232260538883,0.0018382904213745492,0.7932350596710823,0.01059848318355244
2025-10-21T01:02:50.367970Z,vqre,distilbert-base-cased,0.2,64,16,5,0.42364597818193983,0.0016106887880277937,0.7932503506075157,0.010802569156620081
2025-10-21T01:02:50.368095Z,vqre,distilbert-base-cased,0.2,64,32,5,0.29485979113185956,0.0020478430368502014,0.7919966923989661,0.016360275949304174
2025-10-21T01:02:50.368198Z,vqre,distilbert-base-cased,0.2,128,0,5,0.14177191918087337,0.001199094149120035,0.7938940218687274,0.007069347993750742
2025-10-21T01:02:50.368308Z,vqre,distilbert-base-cased,0.2,128,16,5,0.42428213694300776,0.0015041582051353425,0.7889252149285856,0.010237170518316267
2025-10-21T01:02:50.368418Z,vqre,distilbert-base-cased,0.2,128,32,5,0.2956049197655703,0.0023483606846122548,0.7889115298866725,0.010550331933687422
2025-10-21T01:02:50.368524Z,vqre,distilbert-base-cased,0.4,4,0,5,1.049041756793739,0.009717562126746284,0.7929295920666461,0.0057594871231632
2025-10-21T01:02:50.368641Z,vqre,distilbert-base-cased,0.4,4,16,5,1.2722420628043338,0.008208992550350212,0.7890643687473234,0.00956995640819338
